event_id,event_name,event_date,initial_coverage_date,resolution_time_hours,event_category,outcome,outcome_binary,event_description,outcome_confirmed_by,experimental_plan_note,source_name,article_headline,article_date,article_summary,framing_prediction,source_correct,paywall_note
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",Guardian,Johnson says he won't quit as Javid and Sunak resign in protest over PM's conduct,2022-07-05,"The Guardian framed the simultaneous resignations of Sunak and Javid as a potentially fatal blow, arguing the scale and coordination of departures signalled the Cabinet had concluded Johnson's position was untenable. Commentary emphasised that the Pincher scandal had finally broken the loyalty of previously supportive Cabinet figures.",WILL_RESIGN,TRUE,FREE
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",BBC,Boris Johnson says he will not resign after Javid and Sunak quit,2022-07-05,"BBC News reported the unprecedented scale of cabinet departures factually, leading with Johnson's public statement that he would not resign. The BBC's political team noted the gravity of the simultaneous resignations but maintained measured language without explicitly forecasting Johnson's departure.",UNCLEAR,PARTIAL,FREE
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",Telegraph,Boris Johnson fights to survive as Javid and Sunak resign in protest,2022-07-05,"The Telegraph, historically sympathetic to Johnson, reported the resignations as a severe crisis while allowing for the possibility he could stabilise his position if further departures were stemmed. Some commentary suggested Johnson's political resilience should not be underestimated.",UNCLEAR,PARTIAL,PAYWALLED
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",Times,Sunak and Javid quit: Johnson faces impossible odds as cabinet crisis deepens,2022-07-05,"The Times framed the double resignation as effectively ending Johnson's viability as Prime Minister, with political correspondents describing coordinated departures as a signal that the Cabinet had concluded his premiership was over. Coverage quoted senior Conservative sources suggesting Johnson had no credible path back to authority.",WILL_RESIGN,TRUE,PAYWALLED
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",Reuters,Britain's PM Johnson vows to carry on as two top ministers resign,2022-07-05,"Reuters reported the simultaneous resignations factually, leading with Johnson's refusal to step down and setting out the constitutional significance of losing his Chancellor and Health Secretary simultaneously. As a wire service, Reuters focused on facts without explicitly forecasting the outcome.",UNCLEAR,PARTIAL,FREE
1,Boris Johnson Resignation July 2022,2022-07-07,2022-07-05,42,Resignation,"Boris Johnson announced his resignation as Conservative Party leader on 7 July 2022, following a mass cabinet walkout that made his position untenable.",RESIGNED,"Boris Johnson faces an unprecedented wave of cabinet resignations beginning on 5 July 2022, triggered by the revelation that he appointed Chris Pincher as Deputy Chief Whip despite being aware of prior sexual misconduct allegations against him. Chancellor Rishi Sunak and Health Secretary Sajid Javid resigned simultaneously on the evening of 5 July, with further ministerial departures following in rapid succession. Johnson has publicly stated his intention to remain as Prime Minister, but a significant number of Conservative MPs are reported to be preparing renewed pressure on his leadership.",BBC News,"Tests whether WILL_RESIGN framings (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 5 July 2022 predict the RESIGNED outcome 42 hours later. High inter-outlet framing variance makes this a strong disagreement-detection candidate.",Sky News,Boris Johnson's political survival in serious doubt as Sunak and Javid resign,2022-07-05,"Sky News framed the cabinet walkout as a watershed moment casting serious doubt on Johnson's ability to continue, with political editor Beth Rigby reporting that senior Conservative figures privately believed his position had become untenable. Sky's coverage was more willing than the BBC to characterise the departures as likely fatal.",WILL_RESIGN,TRUE,FREE
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",Guardian,Liz Truss's days as PM appear numbered after Hunt reverses mini-budget,2022-10-17,"The Guardian framed Jeremy Hunt's sweeping reversal of the mini-budget as proof that Truss's premiership had lost all credibility, with political correspondents arguing she had no economic programme left to defend. Coverage strongly implied her position was untenable and that Conservative MPs were preparing to act.",WILL_RESIGN,TRUE,FREE
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",BBC,Liz Truss faces fresh questions over her leadership after Hunt reverses mini-budget,2022-10-17,BBC News reported the scale of the Hunt reversal and the acute pressure on Truss's leadership without explicitly predicting her departure. Political correspondents noted that Conservative MPs were openly questioning her position but stopped short of forecasting resignation.,UNCLEAR,PARTIAL,FREE
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",Telegraph,Liz Truss under mounting pressure as Tory MPs question her leadership,2022-10-17,"The Telegraph, which had backed Truss's supply-side economic agenda, reported the Hunt reversal with notable restraint, framing it as a recalibration rather than a repudiation. Coverage acknowledged the severity of the political situation without definitively calling her tenure over.",UNCLEAR,PARTIAL,PAYWALLED
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",Times,Truss's premiership on life support as Hunt tears up economic agenda,2022-10-17,"The Times framed Hunt's October 17 statement as the effective end of the Truss premiership, reporting that senior Conservative figures privately concluded she could not survive. Political correspondents cited the unprecedented nature of a PM having her entire programme reversed within weeks of taking office.",WILL_RESIGN,TRUE,PAYWALLED
