source_id,title,summary,url,published_at,fetched_at,vader_compound
guardian,Apple launches legal challenge against UK government demand to access data,"The Home Office has made a fresh request for ‘back door’ access to encrypted iCloud data belonging to British users Apple has launched a new legal challenge against a UK government demand to access its customers’ highly encrypted data, a year after the Home Office agreed to abandon its previous request. The US tech company launched the legal complaint last month at the Investigatory Powers Tribunal (IPT), an independent court that has the power to investigate claims that the UK intelligence services have acted unlawfully. Continue reading...",https://www.theguardian.com/technology/2026/aug/03/apple-legal-challenge-uk-government-data-access,2026-08-03T17:35:44+00:00,2026-08-04T15:33:49.196087+00:00,0.0772
guardian,‘Clacton voters need a serious person’: the independent candidates taking on Nigel Farage – and Count Binface,"Attieh Fard and Andy Erlam make their byelection pitch to voters, but Reform UK’s leader is conspicuously absent In the town square in Clacton, in the blazing midday sunshine, some of the candidates for the upcoming byelection made their pitch to a scattering of potential voters, passing Deliveroo drivers and a giant gull. But as the independent candidate Attieh Fard shouted into a megaphone that she would be a voice for Clacton, a passing youth shouted: “Where’s Binface?” Continue reading...",https://www.theguardian.com/politics/2026/aug/03/clacton-byelection-independent-candidates-nigel-farage-count-binface,2026-08-03T14:05:56+00:00,2026-08-04T15:33:49.196087+00:00,-0.0772
guardian,The Guardian view on the Lovell telescope: budget cuts to physics are bad science and worse politics | Editorial,"Funders have picked a damaging fight with scientists and the public. They should reconsider their plans The iconic Lovell telescope, housed at the Jodrell Bank Observatory in Cheshire, has always expanded our view of the universe – from tracking the Sputnik launch in 1957 to its current contributions to the study of dark matter. It is now threatened with closure after it was announced that government funding will not continue past March 2028. The projected savings are just £2.8m a year. This is just the latest in a rolling package of cuts from the Science and Technology Facilities Council (STFC) – which disperses government funding to particle, astro and nuclear physics, among other disciplines – aimed at saving about £160m over the next four years. The STFC has insisted that the measures are a result of cost overruns. That may be true, but it is hard not to see this as part of a larger shift in what kind of science the government funds and prioritises, and what areas it allows to wither. Continue reading...",https://www.theguardian.com/commentisfree/2026/jul/31/the-guardian-view-on-the-lovell-telescope-cuts-physics-bad-science-politics,2026-07-31T16:32:01+00:00,2026-08-04T15:33:49.196087+00:00,-0.8316
guardian,Judge orders return of alleged victim of trafficking sent to France under ‘one in one out’ scheme,Ruling quashes Home Office policy to refuse asylum seekers’ right to have trafficking claims reconsidered after initial rejection A high court judge has ordered the Home Office to bring an alleged victim of trafficking forcibly removed to France under the “one in one out” scheme back to the UK. It is the first ruling of its kind and could lead to more people affected by the “one in one out” policy being brought back to the UK. Continue reading...,https://www.theguardian.com/uk-news/2026/aug/03/judge-orders-return-of-alleged-victim-of-trafficking-sent-to-france-under-one-in-one-out-scheme,2026-08-03T17:52:12+00:00,2026-08-04T15:33:49.196087+00:00,-0.2732
guardian,Former neo-Nazi activist selected as Tory candidate for Somerset council election,"Joshua Bonehill-Paine, creator of satirical Crewkerne Gazette, has convictions including for harassing a Jewish MP A former neo-Nazi activist with convictions including for harassing a Jewish MP has been selected as a Conservative candidate for a local election in Somerset. Joshua Bonehill-Paine, the creator of the viral Crewkerne Gazette series of AI clips , is due to stand for election to Somerset council next year in a new Crewkerne South district. He told the Guardian he was an executive member of the Tories’ Yeovil branch, working as an events organiser. Continue reading...",https://www.theguardian.com/politics/2026/aug/03/former-neo-nazi-activist-selected-as-tory-candidate-for-somerset-council-election,2026-08-03T18:45:20+00:00,2026-08-04T15:33:49.196087+00:00,0.0
guardian,Nigel Farage and the £5m question that won’t go away – podcast,"Reform UK’s finances have come under scrutiny like never before. What do we know about the party’s funding – and why do so many awkward questions remain for Nigel Farage? Anna Isaac explains For a while this year, it looked like nothing could stop Nigel Farage getting to Downing Street. Not the allegations of schoolboy racism, not the dodgy Cameo videos or even the £400,000 he trousered for advertising gold bullion. But at the end of April, the Guardian’s City editor, Anna Isaac , delivered a game-changing scoop. That Farage had been given a £5m gift, as he termed it, from the cryptocurrency billionaire Christopher Harbourne. Continue reading...",https://www.theguardian.com/news/audio/2026/aug/04/nigel-farage-and-the-5m-question-that-wont-go-away-podcast,2026-08-04T02:00:09+00:00,2026-08-04T15:33:49.196087+00:00,0.0
bbc,"Prison early release scheme comes 'at the expense of victims', families complain","Some offenders will be barred from the scheme, but those guilty of manslaughter may be eligible, leaving PC Harper's family ""devastated"".",https://www.bbc.co.uk/news/articles/c20e15d0z6zo?at_medium=RSS&at_campaign=rss,2026-08-04T15:27:55+00:00,2026-08-04T15:33:49.469391+00:00,-0.7964
guardian,Calls for UK bank tax to fund cost of living help as HSBC profits hit £7.5bn,"Levy could raise £19bn to help pay for Andy Burnham’s support for those struggling with bills, say campaigners Campaigners have renewed calls for a windfall tax on UK banks that could raise £19bn towards Andy Burnham’s cost of living agenda, after HSBC raked in $10.1bn (£7.5bn) worth of profits in the second quarter of the year. Bosses at HSBC reported on Tuesday that profits rose 60% year on year in the three months to the end of June, helped by fees from wealth management and insurance business, as well as higher interest rates, which allow the bank to charge more for loans and mortgages. Continue reading...",https://www.theguardian.com/business/2026/aug/04/uk-bank-tax-hsbc-profits-andy-burnham,2026-08-04T10:47:52+00:00,2026-08-04T22:33:48.847731+00:00,0.6808
guardian,Rupert Lowe’s ‘olive branch’ to Farage piles more pressure on Reform leader,"Restore leader has countered charges he’s splitting the right while showing his party is a very real obstacle for Reform Even by the standards of their rivalry, the speed at which Rupert Lowe’s olive branch to Nigel Farage morphed into fresh recriminations between the two was swift. It began with a softly lit 12-minute video posted on Sunday by the Restore Britain leader, looking straight to camera and referring to “Nigel” as he suggested his party could be willing to cast aside its differences with Reform UK and work together. Continue reading...",https://www.theguardian.com/politics/2026/aug/03/rupert-lowe-restore-britain-olive-branch-reform-uk,2026-08-03T18:37:55+00:00,2026-08-04T22:33:48.847731+00:00,-0.3597
guardian,A rail nightmare: what it’s like on England’s busiest commuter-only train,"This evening service from London to Crewe is hot, sweaty and heaving with people, many having to stand or sit in the gangways The 5.46pm train from London Euston to Crewe is the low point of Nikhil Patel’s week. “I’ve never gotten a seat. I always stand up even when I get here early,” says the 22-year-old, struggling to keep his balance while the gangway underneath sways from side to side. Painfully for Patel, who is commuting back and forth to the capital for a computer science internship, it’s the first leg of a three-hour journey home to Walsall. He grabs the back of a chair to remain steady but says he’s just thankful that the train has left on time – and that it’s even on the move at all. Continue reading...",https://www.theguardian.com/uk-news/2026/aug/04/a-rail-nightmare-what-its-like-on-englands-busiest-commuter-only-train,2026-08-04T11:00:49+00:00,2026-08-04T22:33:48.847731+00:00,0.3612
